1 Insertion 3877: Time = 16600 ns, Operations = 59
2 Insertion 1178: Time = 15100 ns, Operations = 59
3 Insertion 9656: Time = 13200 ns, Operations = 55
4 Insertion 5206: Time = 11800 ns, Operations = 55
5 Insertion 4446: Time = 16300 ns, Operations = 55
6 Insertion 5275: Time = 13500 ns, Operations = 59
7 Insertion 3628: Time = 12500 ns, Operations = 59
8 Insertion 2333: Time = 12000 ns, Operations = 55
9 Insertion 8791: Time = 11800 ns, Operations = 55
10 Insertion 9918: Time = 692300 ns, Operations = 55
11 Insertion 1316: Time = 2500 ns, Operations = 59
12 Insertion 2457: Time = 2200 ns, Operations = 59
13 Insertion 6327: Time = 2200 ns, Operations = 55
14 Insertion 9955: Time = 2200 ns, Operations = 55
15 Insertion 6575: Time = 2100 ns, Operations = 55
16 Insertion 4898: Time = 2100 ns, Operations = 59
17 Insertion 9101: Time = 2100 ns, Operations = 59
18 Insertion 4847: Time = 3100 ns, Operations = 55
19 Insertion 9390: Time = 2100 ns, Operations = 55
20 Insertion 8896: Time = 2000 ns, Operations = 55
21 Insertion 7698: Time = 2200 ns, Operations = 59
22 Insertion 4341: Time = 3400 ns, Operations = 59
23 Insertion 217: Time = 2200 ns, Operations = 55
24 Insertion 6723: Time = 1800 ns, Operations = 55
25 Insertion 8970: Time = 2800 ns, Operations = 55
26 Insertion 9315: Time = 2700 ns, Operations = 59
27 Insertion 5441: Time = 1800 ns, Operations = 59
28 Insertion 8604: Time = 2000 ns, Operations = 55
29 Insertion 9178: Time = 1700 ns, Operations = 55
30 Insertion 7292: Time = 2500 ns, Operations = 55
31 Insertion 421: Time = 2000 ns, Operations = 59
32 Insertion 8524: Time = 1900 ns, Operations = 59
33 Insertion 1251: Time = 1900 ns, Operations = 55
34 Insertion 7853: Time = 2400 ns, Operations = 55
35 Insertion 3919: Time = 2100 ns, Operations = 55
36 Insertion 3735: Time = 2000 ns, Operations = 59
37 Insertion 6844: Time = 4900 ns, Operations = 59
38 Insertion 5951: Time = 2000 ns, Operations = 55
39 Insertion 6166: Time = 1700 ns, Operations = 55
40 Insertion 4675: Time = 1700 ns, Operations = 55
41 Insertion 7342: Time = 21800 ns, Operations = 59
42 Insertion 1848: Time = 2300 ns, Operations = 59
43 Insertion 2918: Time = 1900 ns, Operations = 55
44 Insertion 5139: Time = 2100 ns, Operations = 55
45 Insertion 6744: Time = 1900 ns, Operations = 55
46 Insertion 1885: Time = 5300 ns, Operations = 59
47 Insertion 9068: Time = 1900 ns, Operations = 59
48 Insertion 6539: Time = 1700 ns, Operations = 55
49 Insertion 1139: Time = 4300 ns, Operations = 55
50 Insertion 1464: Time = 2200 ns, Operations = 55
51 Insertion 6203: Time = 2000 ns, Operations = 59
52 Insertion 6143: Time = 1600 ns, Operations = 59
53 Insertion 3344: Time = 3000 ns, Operations = 55
54 Insertion 146: Time = 2400 ns, Operations = 55
55 Insertion 7933: Time = 2100 ns, Operations = 55
56 Insertion 332: Time = 2000 ns, Operations = 59
57 Insertion 6446: Time = 2000 ns, Operations = 59
58 Insertion 510: Time = 1900 ns, Operations = 55
59 Insertion 6883: Time = 1600 ns, Operations = 55
60 Insertion 3651: Time = 1400 ns, Operations = 55
61 Insertion 9064: Time = 1500 ns, Operations = 59
62 Insertion 3762: Time = 2000 ns, Operations = 59
63 Insertion 6413: Time = 1600 ns, Operations = 55
64 Insertion 5005: Time = 1800 ns, Operations = 55
65 Insertion 714: Time = 4500 ns, Operations = 55
66 Insertion 66: Time = 3100 ns, Operations = 59
67 Insertion 5525: Time = 2800 ns, Operations = 59
68 Insertion 4304: Time = 2900 ns, Operations = 55
69 Insertion 1620: Time = 2400 ns, Operations = 55
70 Insertion 7931: Time = 2400 ns, Operations = 55
71 Insertion 5653: Time = 2700 ns, Operations = 59
72 Insertion 9965: Time = 2900 ns, Operations = 59
73 Insertion 1063: Time = 2700 ns, Operations = 55
74 Insertion 153: Time = 2500 ns, Operations = 55
75 Insertion 8473: Time = 2400 ns, Operations = 55
76 Insertion 4994: Time = 2200 ns, Operations = 55
77 Insertion 4604: Time = 3200 ns, Operations = 55
78 Insertion 5861: Time = 2200 ns, Operations = 55
79 Insertion 815: Time = 1800 ns, Operations = 55
80 Insertion 195: Time = 2100 ns, Operations = 59
81 Insertion 1268: Time = 2300 ns, Operations = 59
82 Insertion 9022: Time = 1700 ns, Operations = 55
83 Insertion 8715: Time = 4900 ns, Operations = 55
84 Insertion 2928: Time = 1500 ns, Operations = 55
85 Insertion 9738: Time = 1700 ns, Operations = 59
86 Insertion 1794: Time = 1700 ns, Operations = 59
87 Insertion 5015: Time = 1700 ns, Operations = 55
88 Insertion 8466: Time = 1700 ns, Operations = 55
89 Insertion 5813: Time = 1700 ns, Operations = 55
90 Insertion 2026: Time = 1700 ns, Operations = 59
91 Insertion 6568: Time = 1700 ns, Operations = 59
92 Insertion 1400: Time = 1700 ns, Operations = 55
93 Insertion 4553: Time = 1600 ns, Operations = 55
94 Insertion 6224: Time = 1400 ns, Operations = 55
95 Insertion 6651: Time = 1500 ns, Operations = 59
96 Insertion 7321: Time = 1400 ns, Operations = 59
97 Insertion 2477: Time = 2100 ns, Operations = 55
98 Insertion 1773: Time = 3500 ns, Operations = 55
99 Insertion 9310: Time = 2400 ns, Operations = 55
100 Insertion 9477: Time = 2500 ns, Operations = 59
101 Insertion 1000: Time = 1700 ns, Operations = 59
102 Insertion 2419: Time = 2400 ns, Operations = 55
103 Insertion 3724: Time = 1800 ns, Operations = 55
104 Insertion 5629: Time = 1800 ns, Operations = 55
105 Insertion 3781: Time = 1900 ns, Operations = 59
106 Insertion 5684: Time = 1800 ns, Operations = 59
107 Insertion 7776: Time = 1800 ns, Operations = 55
108 Insertion 1419: Time = 1800 ns, Operations = 55
109 Insertion 3445: Time = 2000 ns, Operations = 55
110 Insertion 2702: Time = 1900 ns, Operations = 59
111 Insertion 3403: Time = 1600 ns, Operations = 59
112 Insertion 2142: Time = 2200 ns, Operations = 55
113 Insertion 7555: Time = 1500 ns, Operations = 55
114 Insertion 3955: Time = 2300 ns, Operations = 55
115 Insertion 8560: Time = 2000 ns, Operations = 55
116 Insertion 9718: Time = 2100 ns, Operations = 55
117 Insertion 4082: Time = 2000 ns, Operations = 55
